Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Test Cases/Navigations/Navigation - Deduction,Chrome 67.0.3396.99,,2018-07-18 08:44:18,2018-07-18 08:44:30,12.064s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:44:18,2018-07-18 08:44:21,3.003s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:44:21,2018-07-18 08:44:23,2.093s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:44:23,2018-07-18 08:44:25,2.004s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:44:25,2018-07-18 08:44:25,0.076s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:44:25,2018-07-18 08:44:28,3.002s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:44:28,2018-07-18 08:44:30,1.660s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Other Options,Chrome 67.0.3396.99,,2018-07-18 08:44:30,2018-07-18 08:44:33,3.381s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:44:30,2018-07-18 08:44:33,3.003s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:44:33,2018-07-18 08:44:33,0.168s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Pension,Chrome 67.0.3396.99,,2018-07-18 08:44:33,2018-07-18 08:44:45,11.514s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:44:33,2018-07-18 08:44:39,6.002s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:44:39,2018-07-18 08:44:39,0.047s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:44:39,2018-07-18 08:44:41,2.002s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:44:41,2018-07-18 08:44:42,0.064s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:44:42,2018-07-18 08:44:44,2.001s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:44:44,2018-07-18 08:44:45,1.182s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Auto Enrolment Pension Rules,Chrome 67.0.3396.99,,2018-07-18 08:44:45,2018-07-18 08:44:48,3.336s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:44:45,2018-07-18 08:44:48,3.001s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:44:48,2018-07-18 08:44:48,0.127s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Payroll Rates,Chrome 67.0.3396.99,,2018-07-18 08:44:48,2018-07-18 08:44:57,9.302s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:44:48,2018-07-18 08:44:51,3.002s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:44:51,2018-07-18 08:44:51,0.066s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:44:51,2018-07-18 08:44:53,2.003s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:44:53,2018-07-18 08:44:53,0.060s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:44:53,2018-07-18 08:44:55,2.003s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:44:55,2018-07-18 08:44:57,1.626s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:44:57,2018-07-18 08:44:57,0.269s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Derived Rates,Chrome 67.0.3396.99,,2018-07-18 08:44:57,2018-07-18 08:45:00,2.292s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:44:58,2018-07-18 08:45:00,2.002s,PASSED
